fid, fiv, hid, hiv, batt, hr, hbn, hbts1, hbts2, hbts3, hbts4, hbts5, hbts6, hbts7, hbts8, hbts9, hbts10, hbts11, hbts12, hbts13, hbts14, hbts15, distance, speed, strides
26,1f,80,vd,78,112,50,3379,2859,2327,1787,1251,711,163,65155,64611,64067,63523,62987,62447,61903,60795,2254,356,45
26,1f,80,vd,79,113,52,4403,3891,3379,2859,2327,1787,1251,711,163,65155,64611,64067,63523,62987,62447,2288,256,47
26,1f,80,vd,79,113,54,5427,4919,4403,3891,3379,2859,2327,1787,1251,711,163,65155,64611,64067,63523,2288,256,47
26,1f,80,vd,77,113,56,6463,5943,5427,4919,4403,3891,3379,2859,2327,1787,1251,711,163,65155,64611,2333,356,49
26,1f,80,vd,80,114,58,7507,6987,6463,5943,5427,4919,4403,3891,3379,2859,2327,1787,1251,711,163,2333,356,49
26,1f,80,vd,80,114,60,8567,8035,7507,6987,6463,5943,5427,4919,4403,3891,3379,2859,2327,1787,1251,2366,256,50
26,1f,80,vd,78,113,62,9631,9107,8567,8035,7507,6987,6463,5943,5427,4919,4403,3891,3379,2859,2327,2366,256,50
26,1f,80,vd,80,113,64,10703,10167,9631,9107,8567,8035,7507,6987,6463,5943,5427,4919,4403,3891,3379,2400,256,52
26,1f,80,vd,80,113,66,11799,11251,10703,10167,9631,9107,8567,8035,7507,6987,6463,5943,5427,4919,4403,2400,256,52
26,1f,80,vd,79,113,68,12855,12323,11799,11251,10703,10167,9631,9107,8567,8035,7507,6987,6463,5943,5427,2432,256,53
26,1f,80,vd,79,113,69,13383,12855,12323,11799,11251,10703,10167,9631,9107,8567,8035,7507,6987,6463,5943,2432,256,53
26,1f,80,vd,79,113,71,14463,13923,13383,12855,12323,11799,11251,10703,10167,9631,9107,8567,8035,7507,6987,2475,331,55
26,1f,80,vd,80,113,73,15527,14991,14463,13923,13383,12855,12323,11799,11251,10703,10167,9631,9107,8567,8035,2475,331,55
26,1f,80,vd,79,112,75,16643,16075,15527,14991,14463,13923,13383,12855,12323,11799,11251,10703,10167,9631,9107,2507,256,57
26,1f,80,vd,80,112,77,17755,17203,16643,16075,15527,14991,14463,13923,13383,12855,12323,11799,11251,10703,10167,2507,256,57
26,1f,80,vd,80,111,78,18323,17755,17203,16643,16075,15527,14991,14463,13923,13383,12855,12323,11799,11251,10703,2539,256,58
26,1f,80,vd,80,110,80,19487,18903,18323,17755,17203,16643,16075,15527,14991,14463,13923,13383,12855,12323,11799,2539,256,58
26,1f,80,vd,80,110,82,20619,20047,19487,18903,18323,17755,17203,16643,16075,15527,14991,14463,13923,13383,12855,2571,256,60
26,1f,80,vd,80,109,84,21763,21191,20619,20047,19487,18903,18323,17755,17203,16643,16075,15527,14991,14463,13923,2571,256,60
26,1f,80,vd,79,109,86,22847,22303,21763,21191,20619,20047,19487,18903,18323,17755,17203,16643,16075,15527,14991,2603,256,61
26,1f,80,vd,80,109,87,23387,22847,22303,21763,21191,20619,20047,19487,18903,18323,17755,17203,16643,16075,15527,2603,256,61
26,1f,80,vd,79,109,89,24475,23931,23387,22847,22303,21763,21191,20619,20047,19487,18903,18323,17755,17203,16643,2640,281,63
26,1f,80,vd,80,110,91,25535,25007,24475,23931,23387,22847,22303,21763,21191,20619,20047,19487,18903,18323,17755,2640,281,63
26,1f,80,vd,79,110,93,26627,26071,25535,25007,24475,23931,23387,22847,22303,21763,21191,20619,20047,19487,18903,2667,200,65
26,1f,80,vd,78,110,95,27707,27167,26627,26071,25535,25007,24475,23931,23387,22847,22303,21763,21191,20619,20047,2667,200,65
26,1f,80,vd,77,110,97,28787,28243,27707,27167,26627,26071,25535,25007,24475,23931,23387,22847,22303,21763,21191,2694,200,66
26,1f,80,vd,77,110,99,29867,29335,28787,28243,27707,27167,26627,26071,25535,25007,24475,23931,23387,22847,22303,2694,200,66
26,1f,80,vd,79,110,100,30399,29867,29335,28787,28243,27707,27167,26627,26071,25535,25007,24475,23931,23387,22847,2722,200,68
